Start,StartLocation,StIvesNorthbound,BostonNorthbound,LouthNorthbound,HessleNorthbound,MaltonNorthbound,BarnardCastleNorthbound,BramptonNorthbound,MoffatNorthbound,Dunfermline,InnerleithenSouthbound,EskdalemuirSouthbound,BramptonSouthbound,BarnardCastleSouthbound,MaltonSouthbound,HessleSouthbound,LouthSouthbound,BostonSouthbound,StIvesSouthbound,GreatEastonSouthbound,DebdenFinish
2022-08-07T05:00:00Z,Debden,2022-08-07T08:09:00Z,2022-08-07T11:02:00Z,2022-08-07T13:16:27Z,2022-08-07T15:17:00Z,2022-08-07T18:16:00Z,2022-08-07T23:43:00Z,2022-08-08T07:59:00Z,2022-08-08T11:35:00Z,2022-08-08T16:53:00Z,2022-08-08T21:15:00Z,2022-08-09T06:11:00Z,2022-08-09T08:59:00Z,2022-08-09T13:46:00Z,2022-08-09T19:12:00Z,2022-08-09T22:49:00Z,2022-08-10T07:13:00Z,2022-08-10T09:49:00Z,2022-08-10T13:58:00Z,2022-08-10T17:51:00Z,2022-08-10T20:23:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:29:00Z,2022-08-07T11:40:00Z,2022-08-07T13:51:00Z,2022-08-07T16:29:00Z,2022-08-07T19:46:00Z,,,,,,,,,,,,,,,
2022-08-07T05:00:00Z,Debden,2022-08-07T08:29:00Z,2022-08-07T12:07:43Z,2022-08-07T13:51:00Z,2022-08-07T16:29:00Z,2022-08-07T19:45:00Z,2022-08-08T02:05:00Z,2022-08-08T12:02:00Z,2022-08-08T15:45:00Z,2022-08-08T22:08:00Z,2022-08-09T04:11:00Z,2022-08-09T09:41:00Z,2022-08-09T12:45:00Z,2022-08-09T18:14:00Z,2022-08-10T02:44:00Z,2022-08-10T10:04:00Z,2022-08-10T13:15:00Z,2022-08-10T15:58:00Z,2022-08-10T20:03:00Z,2022-08-11T00:03:00Z,2022-08-11T02:49:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:20:00Z,2022-08-07T11:36:00Z,2022-08-07T14:35:00Z,2022-08-07T17:12:00Z,2022-08-07T20:46:00Z,2022-08-08T03:51:00Z,2022-08-08T14:31:00Z,2022-08-08T18:02:00Z,2022-08-09T00:53:00Z,,,,,,,,,,,
2022-08-07T05:00:00Z,Debden,2022-08-07T08:12:00Z,2022-08-07T11:36:00Z,2022-08-07T14:17:34Z,2022-08-07T17:12:00Z,2022-08-07T20:46:00Z,2022-08-08T03:51:00Z,2022-08-08T14:31:00Z,2022-08-08T18:03:00Z,2022-08-09T00:52:00Z,,,,,,,,,,,
2022-08-07T05:00:00Z,Debden,2022-08-07T08:27:00Z,2022-08-07T11:43:00Z,2022-08-07T14:19:00Z,2022-08-07T17:19:00Z,2022-08-07T20:51:00Z,2022-08-08T03:49:00Z,2022-08-08T11:11:00Z,2022-08-08T16:34:00Z,2022-08-08T23:01:00Z,2022-08-09T08:08:00Z,2022-08-09T11:08:00Z,2022-08-09T14:26:00Z,2022-08-09T20:38:00Z,2022-08-10T06:54:00Z,,,,,,
2022-08-07T05:00:00Z,Debden,2022-08-07T09:08:00Z,2022-08-07T13:11:00Z,2022-08-07T16:04:00Z,2022-08-07T19:08:00Z,2022-08-07T22:35:00Z,2022-08-08T09:55:00Z,2022-08-08T16:26:00Z,2022-08-08T21:30:00Z,2022-08-09T09:59:00Z,2022-08-09T15:44:00Z,2022-08-09T19:05:00Z,2022-08-09T22:34:00Z,2022-08-10T08:57:00Z,2022-08-10T16:18:00Z,2022-08-10T20:53:00Z,2022-08-11T01:41:00Z,2022-08-11T09:11:00Z,2022-08-11T14:03:00Z,2022-08-11T18:45:00Z,2022-08-11T21:45:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:49:00Z,2022-08-07T12:56:00Z,2022-08-07T15:22:00Z,2022-08-07T19:02:04Z,2022-08-07T23:06:00Z,2022-08-08T08:24:00Z,2022-08-08T15:55:00Z,2022-08-08T21:03:00Z,2022-08-09T07:07:00Z,2022-08-09T15:03:00Z,2022-08-09T19:06:00Z,2022-08-09T22:34:00Z,2022-08-10T08:08:00Z,2022-08-10T16:18:00Z,2022-08-11T02:10:00Z,2022-08-11T08:47:00Z,2022-08-11T11:44:00Z,2022-08-11T18:19:00Z,2022-08-11T20:49:00Z,2022-08-11T23:43:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:15:00Z,2022-08-07T11:24:00Z,2022-08-07T13:31:00Z,2022-08-07T15:52:00Z,2022-08-07T19:02:00Z,2022-08-08T01:04:00Z,2022-08-08T11:01:00Z,2022-08-08T15:55:00Z,2022-08-08T22:09:00Z,2022-08-09T07:57:00Z,2022-08-09T10:35:00Z,2022-08-09T13:35:00Z,2022-08-09T18:12:00Z,2022-08-09T23:32:00Z,2022-08-10T06:49:00Z,2022-08-10T10:12:00Z,2022-08-10T12:51:00Z,2022-08-10T17:09:00Z,2022-08-10T20:47:00Z,2022-08-10T23:01:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T09:03:00Z,2022-08-07T12:22:00Z,2022-08-07T14:42:00Z,2022-08-07T17:11:00Z,2022-08-07T20:41:00Z,2022-08-08T08:47:00Z,,,,,,,,,,,,,,
2022-08-07T05:00:00Z,Debden,2022-08-07T08:13:00Z,2022-08-07T11:03:00Z,2022-08-07T13:18:00Z,2022-08-07T16:10:00Z,2022-08-07T19:25:00Z,2022-08-08T01:41:00Z,2022-08-08T11:50:00Z,,,,,,,,,,,,,
2022-08-07T05:00:00Z,Debden,2022-08-07T08:51:00Z,2022-08-07T12:33:00Z,2022-08-07T15:17:00Z,2022-08-07T18:20:00Z,2022-08-07T21:52:00Z,2022-08-08T05:35:00Z,2022-08-08T12:31:00Z,2022-08-08T16:37:00Z,2022-08-08T23:01:00Z,2022-08-09T08:03:00Z,2022-08-09T14:38:00Z,2022-08-09T17:53:00Z,2022-08-10T00:15:00Z,2022-08-10T08:23:00Z,2022-08-10T13:50:00Z,2022-08-10T22:43:00Z,2022-08-11T01:51:00Z,2022-08-11T07:46:00Z,2022-08-11T12:01:00Z,2022-08-11T15:02:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:11:00Z,,,,,,,,,,,,,,,,,,,
2022-08-07T05:00:00Z,Debden,2022-08-07T08:11:00Z,2022-08-07T11:24:00Z,2022-08-07T13:13:00Z,2022-08-07T15:46:00Z,2022-08-07T18:55:00Z,2022-08-08T06:17:00Z,2022-08-08T10:46:00Z,2022-08-08T14:13:00Z,2022-08-08T19:19:00Z,2022-08-08T23:46:00Z,2022-08-09T07:53:00Z,2022-08-09T10:43:00Z,2022-08-09T15:46:00Z,2022-08-09T21:23:00Z,2022-08-10T06:46:00Z,2022-08-10T10:13:00Z,2022-08-10T12:48:00Z,2022-08-10T17:00:00Z,2022-08-10T20:44:00Z,2022-08-10T23:15:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:52:00Z,2022-08-07T12:36:00Z,2022-08-07T15:30:00Z,2022-08-07T18:28:00Z,2022-08-07T22:25:00Z,2022-08-08T07:31:00Z,2022-08-08T13:46:00Z,2022-08-08T17:55:00Z,2022-08-09T00:01:00Z,2022-08-09T09:48:00Z,2022-08-09T13:08:00Z,2022-08-09T16:16:00Z,2022-08-09T22:14:00Z,2022-08-10T05:41:00Z,2022-08-10T11:02:00Z,2022-08-10T14:44:00Z,2022-08-10T18:02:00Z,2022-08-10T23:49:00Z,2022-08-11T04:53:00Z,2022-08-11T07:59:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:13:00Z,2022-08-07T11:04:00Z,2022-08-07T12:58:00Z,2022-08-07T15:22:00Z,2022-08-07T18:44:00Z,2022-08-08T00:04:00Z,2022-08-08T04:14:00Z,2022-08-08T07:29:00Z,2022-08-08T12:23:00Z,2022-08-08T16:47:00Z,2022-08-08T19:05:00Z,2022-08-08T21:38:00Z,2022-08-09T02:33:00Z,2022-08-09T08:18:00Z,2022-08-09T12:16:00Z,2022-08-09T15:32:00Z,2022-08-09T18:01:00Z,2022-08-09T22:17:00Z,2022-08-10T02:41:00Z,2022-08-10T05:58:00Z
